topology,agent_count,model_size,train_t,push_t,agg_t
powerlaw,192,large,29.152429188019596,0.3561005070223473,0.03276564093539491
powerlaw,192,large,27.99093471991364,0.695674019982107,0.033608506026212126
powerlaw,192,large,33.766957119922154,0.2650641970685683,0.03508703998522833
powerlaw,192,large,29.336449149006512,0.44676913402508944,0.034470597049221396
powerlaw,192,large,28.14307387196459,0.3241644049703609,0.03305490405182354
powerlaw,192,large,28.81030870700488,0.0003130320692434907,0.018040868977550417
powerlaw,192,large,26.358579136023764,0.36641592701198533,0.032554280071053654
powerlaw,192,large,28.47968754998874,1.8484122419613414,0.037321036972571164
powerlaw,192,large,26.714007784088608,0.4710273339878768,0.03511203499510884
powerlaw,192,large,30.259178729029372,0.3718185900361277,0.03919699098332785
powerlaw,192,large,28.131510028033517,0.00029850099235773087,0.0162295019836165
powerlaw,192,large,27.523827606986742,0.00030443401192314923,0.017354962998069823
powerlaw,192,large,26.30513247201452,0.3802966360235587,0.03305262798676267
powerlaw,192,large,30.57433424895862,0.8507043399731629,0.0355005290475674
powerlaw,192,large,31.424602765997406,0.37602749100187793,0.033639988920185715
powerlaw,192,large,34.25398176704766,0.6531844040146098,0.034206016978714615
powerlaw,192,large,30.755802646104712,0.3177868580096401,0.03226179495686665
powerlaw,192,large,27.243512372951955,0.6742844939581119,0.03533065598458052
powerlaw,192,large,31.167393729963806,0.679502620943822,0.03553768101846799
powerlaw,192,large,29.875026211026125,1.0967915459768847,0.0381047889823094
powerlaw,192,large,28.75119772803737,0.29544290906051174,0.03203355096047744
powerlaw,192,large,26.12249768397305,0.5482536339550279,0.03369753801962361
powerlaw,192,large,27.776605476043187,0.6004158451105468,0.03518357209395617
powerlaw,192,large,28.154190536006354,0.3084737949538976,0.03270829503890127
powerlaw,192,large,29.209418685000855,0.6868635449791327,0.034343876934144646
powerlaw,192,large,26.916766661976,0.26214887702371925,0.033177212986629456
powerlaw,192,large,33.64120193396229,0.35016539198113605,0.03625435498543084
powerlaw,192,large,28.950488428992685,0.0003308660234324634,0.017868495895527303
powerlaw,192,large,33.7872531961184,0.6507057580165565,0.04071923898300156
powerlaw,192,large,27.549101573880762,0.6035633399733342,0.03490985289681703
powerlaw,192,large,32.27744351502042,0.2519761479925364,0.03837405500235036
powerlaw,192,large,30.30713863496203,0.42261262104148045,0.03621318400837481
powerlaw,192,large,27.617772836005315,0.4047138399328105,0.03424390003783628
powerlaw,192,large,27.096663877076935,0.8361511820694432,0.034864152083173394
powerlaw,192,large,26.1209855870693,0.00027165800565853715,0.01561651803785935
powerlaw,192,large,32.053910511080176,0.3610625109868124,0.03615340095711872
powerlaw,192,large,27.851845618977677,0.30389103706693277,0.03749185096239671
powerlaw,192,large,27.32419122796273,0.5711854139808565,0.03837880905484781
powerlaw,192,large,28.235848019947298,0.8207039039116353,0.03428645292297006
powerlaw,192,large,26.59498415706912,0.7502061570412479,0.03496209206059575
powerlaw,192,large,29.711205248022452,0.30323170695919544,0.03646088106324896
powerlaw,192,large,27.915207943995483,0.4177841060445644,0.030223992886021733
powerlaw,192,large,29.376559972937685,0.30383516690926626,0.03363955894019455
powerlaw,192,large,26.942068028030917,0.41613278503064066,0.034179057052824646
powerlaw,192,large,28.613312856003176,2.488234209944494,0.03837103903060779
powerlaw,192,large,26.91896101902239,0.43863515194971114,0.033840424090158194
powerlaw,192,large,26.708280027087312,0.5594270700239576,0.036020918923895806
powerlaw,192,large,28.986059580929577,0.27784102293662727,0.03256403800332919
powerlaw,192,large,30.404673879034817,3.572910582064651,0.04763868695590645
powerlaw,192,large,28.18782755197026,0.8213333929306827,0.03929431195138022
powerlaw,192,large,32.80440364504466,0.4013139110757038,0.03740382893010974
powerlaw,192,large,27.877495313005056,0.36320779600646347,0.03477608895627782
powerlaw,192,large,29.385352047975175,0.5304494710289873,0.035014274006243795
powerlaw,192,large,32.853242181940004,0.0003979429602622986,0.01961989898700267
powerlaw,192,large,26.36150976800127,0.3454330490785651,0.031101698928978294
powerlaw,192,large,27.644432327942923,0.47596732404781505,0.03222138591809198
powerlaw,192,large,33.98809930507559,0.2728718819562346,0.03469690098427236
powerlaw,192,large,29.001682121946942,0.00035219406709074974,0.018250252003781497
powerlaw,192,large,33.766801418038085,0.4929228469263762,0.03754814388230443
powerlaw,192,large,31.03792120300932,0.2752236719825305,0.03292313095880672
powerlaw,192,large,28.175393903977238,0.24891699803993106,0.03150179493241012
powerlaw,192,large,33.147940972063225,0.46949324500747025,0.03622835606802255
powerlaw,192,large,30.196755631943233,0.4347656200407073,0.04053383396239951
powerlaw,192,large,26.381825326010585,0.29521449393359944,0.03215293289395049
powerlaw,192,large,30.89246538694715,2.164032962929923,0.043547277979087085
powerlaw,192,large,26.20975695794914,0.3960662090103142,0.03406255098525435
powerlaw,192,large,27.12227549595991,0.382024394988548,0.031719402060844004
powerlaw,192,large,31.038412196852732,0.2860748920356855,0.034837353974580765
powerlaw,192,large,29.835820882988628,0.2703766539343633,0.038489200931508094
powerlaw,192,large,26.60417778295232,0.36165057396283373,0.0328107550740242
powerlaw,192,large,25.914140506996773,0.00031172606395557523,0.016336146974936128
powerlaw,192,large,29.894105040060822,0.25087208003969863,0.03280659095617011
powerlaw,192,large,34.04475054895738,4.369895485928282,0.07558819104451686
powerlaw,192,large,34.631690913112834,0.0003453800454735756,0.01899798901285976
powerlaw,192,large,29.231063273036852,0.5018434750381857,0.034659850993193686
powerlaw,192,large,27.616782468976453,1.3368419589241967,0.034962663950864226
powerlaw,192,large,28.905860404891428,0.25987009098753333,0.03368347807554528
powerlaw,192,large,26.255373502033763,0.3995144619839266,0.03199544007657096
powerlaw,192,large,26.417211308027618,0.5837475519510917,0.040347260015551
powerlaw,192,large,28.59515129000647,0.5466537970351055,0.03736871498404071
powerlaw,192,large,28.837551144999452,0.00033265608362853527,0.01696767599787563
powerlaw,192,large,26.231799033936113,0.00032021402148529887,0.017178877955302596
powerlaw,192,large,29.043106069031637,1.0679354969761334,0.03501449903706089
powerlaw,192,large,28.837208450073376,0.5085261710337363,0.03637171204900369
powerlaw,192,large,28.482282475975808,0.6205708289635368,0.03342411806806922
powerlaw,192,large,26.81541729887249,0.3559752910514362,0.0359274119255133
powerlaw,192,large,26.143820607976522,0.0002877369988709688,0.017037288926076144
powerlaw,192,large,26.70832383807283,0.5479107610299252,0.03245246299775317
powerlaw,192,large,29.818526616028976,1.1594719819840975,0.037042119016405195
powerlaw,192,large,26.61827897996409,0.3551279750536196,0.0327100939466618
powerlaw,192,large,31.371148255188018,0.7893352879327722,0.04397613398032263
powerlaw,192,large,26.438332399062347,0.3669625439797528,0.03254584298701957
powerlaw,192,large,26.588673712976743,0.382640429015737,0.03231351199792698
